GNSS Locations for ALL the Earthquakes
st_name	lat	lon	elv	samp_rate	gain	unit
0101	45.3358	142.1697	0.0	1.00	1.000000e+04	counts/cm
0102	45.2760	141.0382	0.0	1.00	1.000000e+04	counts/cm
0103	45.0024	142.5371	0.0	1.00	1.000000e+04	counts/cm
0104	44.8925	141.7414	0.0	1.00	1.000000e+04	counts/cm
0105	44.7285	142.2652	0.0	1.00	1.000000e+04	counts/cm
0106	44.4270	141.3301	0.0	1.00	1.000000e+04	counts/cm
0107	44.2946	142.6256	0.0	1.00	1.000000e+04	counts/cm
0108	44.0639	144.0298	0.0	1.00	1.000000e+04	counts/cm
0109	44.0192	145.1861	0.0	1.00	1.000000e+04	counts/cm
0110	44.0068	142.1517	0.0	1.00	1.000000e+04	counts/cm
0111	44.0056	143.3337	0.0	1.00	1.000000e+04	counts/cm
0112	42.8945	143.9269	0.0	1.00	1.000000e+04	counts/cm
0113	43.5494	144.9870	0.0	1.00	1.000000e+04	counts/cm
0114	43.8489	143.7873	0.0	1.00	1.000000e+04	counts/cm
0115	43.6618	145.1314	0.0	1.00	1.000000e+04	counts/cm
0116	43.4087	144.7743	0.0	1.00	1.000000e+04	counts/cm
0117	43.4047	141.4312	0.0	1.00	1.000000e+04	counts/cm
0118	43.3825	145.1150	0.0	1.00	1.000000e+04	counts/cm
0119	43.3669	145.8011	0.0	1.00	1.000000e+04	counts/cm
0120	43.2926	140.5971	0.0	1.00	1.000000e+04	counts/cm
0121	43.2895	143.5624	0.0	1.00	1.000000e+04	counts/cm
0122	43.2329	144.3250	0.0	1.00	1.000000e+04	counts/cm
0123	43.2320	143.2980	0.0	1.00	1.000000e+04	counts/cm
0124	43.1206	144.1265	0.0	1.00	1.000000e+04	counts/cm
0125	43.0576	144.8430	0.0	1.00	1.000000e+04	counts/cm
0126	43.0568	140.4992	0.0	1.00	1.000000e+04	counts/cm
0127	42.9853	140.5439	0.0	1.00	1.000000e+04	counts/cm
0128	42.9714	141.2903	0.0	1.00	1.000000e+04	counts/cm
0129	42.8579	140.8833	0.0	1.00	1.000000e+04	counts/cm
0130	42.8027	140.6035	0.0	1.00	1.000000e+04	counts/cm
0131	42.7864	140.2332	0.0	1.00	1.000000e+04	counts/cm
0132	42.7294	141.8640	0.0	1.00	1.000000e+04	counts/cm
0133	42.7272	142.2958	0.0	1.00	1.000000e+04	counts/cm
0134	42.6993	143.1033	0.0	1.00	1.000000e+04	counts/cm
0135	42.6679	141.0750	0.0	1.00	1.000000e+04	counts/cm
0136	42.6555	141.6023	0.0	1.00	1.000000e+04	counts/cm
0137	42.6463	140.8257	0.0	1.00	1.000000e+04	counts/cm
0138	42.5516	143.4611	0.0	1.00	1.000000e+04	counts/cm
0139	42.5498	141.3615	0.0	1.00	1.000000e+04	counts/cm
0140	42.4944	140.3542	0.0	1.00	1.000000e+04	counts/cm
0141	42.4813	142.0602	0.0	1.00	1.000000e+04	counts/cm
0142	42.2477	142.5675	0.0	1.00	1.000000e+04	counts/cm
0143	42.2437	140.2505	0.0	1.00	1.000000e+04	counts/cm
0144	42.1309	142.9354	0.0	1.00	1.000000e+04	counts/cm
0145	42.1308	140.0039	0.0	1.00	1.000000e+04	counts/cm
0146	42.0986	140.5689	0.0	1.00	1.000000e+04	counts/cm
0147	42.0430	140.8055	0.0	1.00	1.000000e+04	counts/cm
0149	41.5990	140.3159	0.0	1.00	1.000000e+04	counts/cm
0150	41.4553	140.8805	0.0	1.00	1.000000e+04	counts/cm
0151	41.0432	140.6359	0.0	1.00	1.000000e+04	counts/cm
0152	40.9682	141.3680	0.0	1.00	1.000000e+04	counts/cm
0153	40.6251	141.1978	0.0	1.00	1.000000e+04	counts/cm
0154	40.5776	139.9281	0.0	1.00	1.000000e+04	counts/cm
0155	40.5237	140.5782	0.0	1.00	1.000000e+04	counts/cm
0156	40.5154	141.5113	0.0	1.00	1.000000e+04	counts/cm
0157	40.2911	141.0765	0.0	1.00	1.000000e+04	counts/cm
0158	40.4052	141.7131	0.0	1.00	1.000000e+04	counts/cm
0159	40.2911	141.2937	0.0	1.00	1.000000e+04	counts/cm
0160	40.0486	141.4620	0.0	1.00	1.000000e+04	counts/cm
0161	39.9806	141.2251	0.0	1.00	1.000000e+04	counts/cm
0162	39.8694	141.9506	0.0	1.00	1.000000e+04	counts/cm
0163	39.8512	141.1649	0.0	1.00	1.000000e+04	counts/cm
0164	39.8492	141.8039	0.0	1.00	1.000000e+04	counts/cm
0165	39.7011	140.9645	0.0	1.00	1.000000e+04	counts/cm
0166	39.5966	141.1721	0.0	1.00	1.000000e+04	counts/cm
0167	39.4581	141.9553	0.0	1.00	1.000000e+04	counts/cm
0169	39.3380	141.5342	0.0	1.00	1.000000e+04	counts/cm
0170	39.2535	141.7981	0.0	1.00	1.000000e+04	counts/cm
0171	39.0238	141.7399	0.0	1.00	1.000000e+04	counts/cm
0172	38.9028	141.5726	0.0	1.00	1.000000e+04	counts/cm
0173	38.8153	140.9906	0.0	1.00	1.000000e+04	counts/cm
0174	38.7489	140.8017	0.0	1.00	1.000000e+04	counts/cm
0175	38.6827	141.4494	0.0	1.00	1.000000e+04	counts/cm
